,year,month,hour,pm2_5,dewp,temp,pres,cbwd,iws,is,ir,DiaDeLaSemana
151,2010,1,7,23.0,-25,-13.0,1036.0,NE,4.92,0,0,Thursday
152,2010,1,8,24.0,-24,-14.0,1036.0,NW,4.02,0,0,Thursday
153,2010,1,9,27.0,-23,-12.0,1036.0,NW,8.94,0,0,Thursday
154,2010,1,10,40.0,-22,-11.0,1036.0,NW,12.96,0,0,Thursday
155,2010,1,11,42.0,-20,-10.0,1036.0,NW,16.09,0,0,Thursday
156,2010,1,12,42.0,-21,-9.0,1035.0,NW,19.22,0,0,Thursday
157,2010,1,13,55.0,-21,-8.0,1034.0,NW,21.01,0,0,Thursday
158,2010,1,14,52.0,-20,-7.0,1033.0,NW,22.8,0,0,Thursday
159,2010,1,15,51.0,-20,-7.0,1032.0,NW,24.59,0,0,Thursday
160,2010,1,16,57.0,-18,-8.0,1032.0,NW,26.38,0,0,Thursday
161,2010,1,17,50.0,-19,-9.0,1032.0,NW,28.17,0,0,Thursday
162,2010,1,18,54.0,-19,-11.0,1032.0,NE,0.89,0,0,Thursday
163,2010,1,19,67.0,-18,-11.0,1033.0,NW,1.79,0,0,Thursday
164,2010,1,20,106.0,-19,-15.0,1032.0,NE,1.79,0,0,Thursday
165,2010,1,21,159.0,-19,-14.0,1032.0,cv,0.45,0,0,Thursday
166,2010,1,22,198.0,-21,-14.0,1032.0,cv,1.34,0,0,Thursday
167,2010,1,23,190.0,-21,-16.0,1032.0,cv,2.23,0,0,Thursday
168,2010,1,0,210.0,-21,-17.0,1031.0,NW,1.79,0,0,Friday
169,2010,1,1,195.0,-19,-16.0,1031.0,NW,3.58,0,0,Friday
170,2010,1,2,275.0,-20,-16.0,1031.0,NE,0.89,0,0,Friday
171,2010,1,3,164.0,-19,-15.0,1030.0,SE,0.89,0,0,Friday
172,2010,1,4,110.0,-18,-15.0,1030.0,cv,0.45,0,0,Friday
173,2010,1,5,100.0,-18,-15.0,1029.0,cv,1.34,0,0,Friday
174,2010,1,6,81.0,-18,-15.0,1029.0,NW,1.79,0,0,Friday
175,2010,1,7,71.0,-16,-13.0,1029.0,NE,0.89,0,0,Friday
176,2010,1,8,66.0,-16,-12.0,1029.0,SE,0.89,0,0,Friday
177,2010,1,9,92.0,-16,-12.0,1030.0,SE,1.78,0,0,Friday
178,2010,1,10,135.0,-17,-10.0,1030.0,NE,0.89,0,0,Friday
179,2010,1,11,155.0,-16,-10.0,1029.0,cv,0.89,0,0,Friday
180,2010,1,12,198.0,-16,-9.0,1028.0,SE,3.13,0,0,Friday
181,2010,1,13,250.0,-15,-8.0,1026.0,SE,4.92,0,0,Friday
182,2010,1,14,200.0,-16,-8.0,1026.0,cv,0.89,0,0,Friday
183,2010,1,15,231.0,-16,-8.0,1025.0,cv,1.78,0,0,Friday
184,2010,1,16,250.0,-16,-8.0,1025.0,cv,2.67,0,0,Friday
185,2010,1,17,212.0,-17,-8.0,1025.0,SE,0.89,0,0,Friday
186,2010,1,18,219.0,-17,-9.0,1026.0,cv,0.45,0,0,Friday
187,2010,1,19,227.0,-17,-11.0,1026.0,cv,1.34,0,0,Friday
188,2010,1,20,226.0,-17,-12.0,1026.0,cv,1.79,0,0,Friday
189,2010,1,21,225.0,-18,-14.0,1027.0,NW,1.79,0,0,Friday
190,2010,1,22,168.0,-16,-9.0,1027.0,NW,4.92,0,0,Friday
191,2010,1,23,169.0,-16,-11.0,1027.0,NW,6.71,0,0,Friday
192,2010,1,0,165.0,-17,-13.0,1027.0,cv,0.89,0,0,Saturday
193,2010,1,1,159.0,-17,-13.0,1027.0,NW,3.13,0,0,Saturday
194,2010,1,2,167.0,-17,-14.0,1027.0,NW,4.92,0,0,Saturday
195,2010,1,3,196.0,-17,-15.0,1027.0,NW,8.05,0,0,Saturday
196,2010,1,4,169.0,-17,-13.0,1027.0,NW,9.84,0,0,Saturday
197,2010,1,5,155.0,-19,-16.0,1027.0,NW,13.86,0,0,Saturday
198,2010,1,6,119.0,-18,-15.0,1027.0,NW,17.88,0,0,Saturday
199,2010,1,7,106.0,-19,-15.0,1027.0,NW,21.9,0,0,Saturday
200,2010,1,8,93.0,-18,-14.0,1028.0,NW,25.92,0,0,Saturday
201,2010,1,9,84.0,-18,-9.0,1029.0,NE,5.81,0,0,Saturday
202,2010,1,10,73.0,-17,-7.0,1029.0,NE,11.62,0,0,Saturday
203,2010,1,11,66.0,-17,-6.0,1030.0,NE,17.43,0,0,Saturday
204,2010,1,12,40.0,-16,-6.0,1029.0,NE,23.24,0,0,Saturday
205,2010,1,13,49.0,-16,-5.0,1029.0,NE,28.16,0,0,Saturday
206,2010,1,14,50.0,-15,-4.0,1029.0,NE,33.08,0,0,Saturday
207,2010,1,15,49.0,-14,-4.0,1028.0,NE,37.1,0,0,Saturday
208,2010,1,16,41.0,-15,-4.0,1029.0,NE,38.89,0,0,Saturday
209,2010,1,17,37.0,-15,-4.0,1030.0,NW,1.79,0,0,Saturday
210,2010,1,18,45.0,-15,-7.0,1030.0,NE,3.13,0,0,Saturday
211,2010,1,19,44.0,-15,-6.0,1031.0,NW,3.13,0,0,Saturday
212,2010,1,20,54.0,-15,-7.0,1032.0,NW,4.92,0,0,Saturday
213,2010,1,21,50.0,-15,-6.0,1032.0,NE,3.13,0,0,Saturday
214,2010,1,22,47.0,-15,-8.0,1033.0,cv,0.45,0,0,Saturday
215,2010,1,23,66.0,-15,-8.0,1033.0,cv,0.9,0,0,Saturday
216,2010,1,0,75.0,-15,-11.0,1033.0,NW,0.89,0,0,Sunday
217,2010,1,1,82.0,-17,-13.0,1033.0,NW,1.78,0,0,Sunday
218,2010,1,2,66.0,-17,-12.0,1033.0,NW,4.91,0,0,Sunday
219,2010,1,3,83.0,-17,-13.0,1033.0,NW,8.04,0,0,Sunday
220,2010,1,4,62.0,-19,-14.0,1032.0,NW,9.83,0,0,Sunday
221,2010,1,5,40.0,-18,-13.0,1032.0,NW,12.96,0,0,Sunday
222,2010,1,6,23.0,-19,-13.0,1032.0,NW,16.09,0,0,Sunday
223,2010,1,7,25.0,-19,-14.0,1033.0,NW,19.22,0,0,Sunday
224,2010,1,8,27.0,-19,-14.0,1034.0,NW,22.35,0,0,Sunday
225,2010,1,9,35.0,-17,-12.0,1033.0,NW,24.14,0,0,Sunday
226,2010,1,10,50.0,-16,-7.0,1033.0,NE,4.02,0,0,Sunday
227,2010,1,11,70.0,-15,-7.0,1033.0,NW,3.13,0,0,Sunday
228,2010,1,12,75.0,-15,-7.0,1032.0,NW,6.26,0,0,Sunday
229,2010,1,13,58.0,-14,-6.0,1031.0,NW,9.39,0,0,Sunday
230,2010,1,14,70.0,-14,-6.0,1031.0,NW,12.52,0,0,Sunday
231,2010,1,15,68.0,-13,-5.0,1030.0,NW,14.31,0,0,Sunday
232,2010,1,16,71.0,-14,-5.0,1031.0,NW,16.1,0,0,Sunday
233,2010,1,17,88.0,-14,-6.0,1031.0,NW,19.23,0,0,Sunday
234,2010,1,18,84.0,-13,-7.0,1032.0,NW,23.25,0,0,Sunday
235,2010,1,19,83.0,-15,-6.0,1032.0,NW,27.27,0,0,Sunday
236,2010,1,20,66.0,-15,-6.0,1033.0,NW,30.4,0,0,Sunday
237,2010,1,21,27.0,-15,-4.0,1034.0,NW,35.32,0,0,Sunday
238,2010,1,22,24.0,-16,-4.0,1034.0,NW,44.26,0,0,Sunday
239,2010,1,23,22.0,-17,-5.0,1035.0,NW,52.31,0,0,Sunday
240,2010,1,0,23.0,-17,-6.0,1035.0,NW,60.36,0,0,Monday
241,2010,1,1,27.0,-17,-8.0,1035.0,cv,0.89,0,0,Monday
242,2010,1,2,23.0,-19,-11.0,1036.0,NW,4.02,0,0,Monday
243,2010,1,3,17.0,-20,-11.0,1036.0,NW,8.94,0,0,Monday
244,2010,1,4,17.0,-21,-11.0,1035.0,NE,4.02,0,0,Monday
245,2010,1,5,16.0,-22,-12.0,1035.0,NW,3.13,0,0,Monday
246,2010,1,6,16.0,-22,-12.0,1035.0,NE,4.92,0,0,Monday
247,2010,1,7,20.0,-22,-13.0,1036.0,NW,5.81,0,0,Monday
248,2010,1,8,20.0,-22,-9.0,1036.0,NW,13.86,0,0,Monday
249,2010,1,9,18.0,-22,-10.0,1036.0,NW,21.91,0,0,Monday
250,2010,1,10,25.0,-22,-9.0,1036.0,NW,29.06,0,0,Monday
251,2010,1,11,26.0,-21,-9.0,1036.0,NW,33.08,0,0,Monday
252,2010,1,12,27.0,-20,-6.0,1035.0,NW,42.02,0,0,Monday
253,2010,1,13,28.0,-19,-5.0,1034.0,NW,50.96,0,0,Monday
254,2010,1,14,15.0,-19,-5.0,1033.0,NW,59.01,0,0,Monday
255,2010,1,15,24.0,-20,-5.0,1033.0,NW,66.16,0,0,Monday
256,2010,1,16,13.0,-20,-5.0,1032.0,NW,71.97,0,0,Monday
257,2010,1,17,13.0,-20,-5.0,1033.0,NW,76.89,0,0,Monday
258,2010,1,18,13.0,-20,-7.0,1033.0,NW,81.81,0,0,Monday
259,2010,1,19,17.0,-22,-7.0,1033.0,NW,85.83,0,0,Monday
260,2010,1,20,20.0,-22,-8.0,1033.0,NW,89.85,0,0,Monday
261,2010,1,21,27.0,-23,-10.0,1033.0,NW,91.64,0,0,Monday
262,2010,1,22,20.0,-23,-13.0,1033.0,NW,93.43,0,0,Monday
263,2010,1,23,15.0,-22,-12.0,1032.0,cv,0.89,0,0,Monday
264,2010,1,0,21.0,-22,-15.0,1031.0,cv,1.78,0,0,Tuesday
265,2010,1,1,21.0,-22,-14.0,1031.0,NE,1.79,0,0,Tuesday
266,2010,1,2,37.0,-22,-14.0,1031.0,NW,0.89,0,0,Tuesday
267,2010,1,3,26.0,-24,-18.0,1030.0,NE,1.79,0,0,Tuesday
268,2010,1,4,15.0,-24,-13.0,1030.0,NE,3.58,0,0,Tuesday
269,2010,1,5,9.0,-25,-14.0,1030.0,NW,3.13,0,0,Tuesday
270,2010,1,6,11.0,-24,-14.0,1030.0,NW,7.15,0,0,Tuesday
271,2010,1,7,11.0,-25,-12.0,1030.0,NW,12.96,0,0,Tuesday
272,2010,1,8,16.0,-26,-14.0,1030.0,NW,16.98,0,0,Tuesday
273,2010,1,9,13.0,-25,-12.0,1031.0,NW,21.0,0,0,Tuesday
274,2010,1,10,15.0,-25,-11.0,1031.0,NW,26.81,0,0,Tuesday
275,2010,1,11,21.0,-24,-11.0,1030.0,NW,35.75,0,0,Tuesday
276,2010,1,12,24.0,-23,-11.0,1029.0,NW,47.82,0,0,Tuesday
277,2010,1,13,22.0,-22,-11.0,1029.0,NW,63.02,0,0,Tuesday
278,2010,1,14,22.0,-23,-11.0,1029.0,NW,75.98,0,0,Tuesday
279,2010,1,15,22.0,-22,-11.0,1029.0,NW,88.05,0,0,Tuesday
280,2010,1,16,19.0,-23,-11.0,1030.0,NW,101.01,0,0,Tuesday
281,2010,1,17,23.0,-24,-11.0,1030.0,NW,109.06,0,0,Tuesday
282,2010,1,18,25.0,-24,-11.0,1032.0,NW,118.0,0,0,Tuesday
283,2010,1,19,25.0,-23,-11.0,1032.0,NW,126.05,0,0,Tuesday
284,2010,1,20,31.0,-23,-12.0,1032.0,NW,134.1,0,0,Tuesday
285,2010,1,21,25.0,-24,-12.0,1033.0,NW,142.15,0,0,Tuesday
286,2010,1,22,22.0,-23,-12.0,1033.0,NW,150.2,0,0,Tuesday
287,2010,1,23,22.0,-23,-12.0,1034.0,NW,160.03,0,0,Tuesday
288,2010,1,0,15.0,-24,-12.0,1034.0,NW,169.86,0,0,Wednesday
289,2010,1,1,16.0,-24,-12.0,1033.0,NW,178.8,0,0,Wednesday
290,2010,1,2,11.0,-25,-12.0,1033.0,NW,189.98,0,0,Wednesday
291,2010,1,3,11.0,-24,-13.0,1033.0,NW,198.03,0,0,Wednesday
292,2010,1,4,12.0,-25,-12.0,1032.0,NW,205.18,0,0,Wednesday
293,2010,1,5,11.0,-25,-12.0,1033.0,NW,215.01,0,0,Wednesday
294,2010,1,6,12.0,-25,-12.0,1032.0,NW,226.19,0,0,Wednesday
295,2010,1,7,27.0,-25,-12.0,1032.0,NW,235.13,0,0,Wednesday
296,2010,1,8,28.0,-25,-12.0,1032.0,NW,243.18,0,0,Wednesday
297,2010,1,9,34.0,-23,-11.0,1033.0,NW,252.12,0,0,Wednesday
298,2010,1,10,33.0,-23,-10.0,1033.0,NW,257.93,0,0,Wednesday
299,2010,1,11,36.0,-22,-9.0,1033.0,NW,263.74,0,0,Wednesday
300,2010,1,12,26.0,-21,-8.0,1031.0,NW,270.89,0,0,Wednesday
301,2010,1,13,49.0,-21,-6.0,1030.0,NW,278.94,0,0,Wednesday
302,2010,1,14,52.0,-20,-5.0,1029.0,NW,286.99,0,0,Wednesday
303,2010,1,15,47.0,-22,-5.0,1028.0,NW,294.14,0,0,Wednesday
304,2010,1,16,47.0,-21,-5.0,1028.0,NW,299.06,0,0,Wednesday
305,2010,1,17,39.0,-19,-7.0,1028.0,SE,1.79,0,0,Wednesday
306,2010,1,18,59.0,-19,-8.0,1028.0,cv,0.45,0,0,Wednesday
307,2010,1,19,76.0,-20,-9.0,1028.0,cv,1.34,0,0,Wednesday
308,2010,1,20,96.0,-19,-10.0,1027.0,SE,1.79,0,0,Wednesday
309,2010,1,21,95.0,-19,-13.0,1027.0,cv,0.89,0,0,Wednesday
310,2010,1,22,68.0,-18,-12.0,1027.0,cv,1.78,0,0,Wednesday
311,2010,1,23,65.0,-18,-13.0,1027.0,NE,0.89,0,0,Wednesday
312,2010,1,0,75.0,-18,-14.0,1026.0,NE,1.78,0,0,Thursday
313,2010,1,1,257.0,-20,-15.0,1025.0,NE,2.67,0,0,Thursday
314,2010,1,2,174.0,-20,-15.0,1025.0,NW,0.89,0,0,Thursday
315,2010,1,3,164.0,-20,-16.0,1025.0,NW,1.78,0,0,Thursday
316,2010,1,4,161.0,-20,-16.0,1024.0,NW,3.57,0,0,Thursday
317,2010,1,5,137.0,-21,-17.0,1024.0,NW,6.7,0,0,Thursday
318,2010,1,6,92.0,-19,-14.0,1023.0,NW,10.72,0,0,Thursday
319,2010,1,7,64.0,-21,-17.0,1023.0,NW,13.85,0,0,Thursday
320,2010,1,8,87.0,-19,-15.0,1024.0,NW,15.64,0,0,Thursday
321,2010,1,9,87.0,-19,-14.0,1024.0,NW,18.77,0,0,Thursday
322,2010,1,10,84.0,-18,-10.0,1024.0,NW,22.79,0,0,Thursday
323,2010,1,11,95.0,-17,-9.0,1023.0,NW,24.58,0,0,Thursday
324,2010,1,12,79.0,-16,-6.0,1023.0,NW,26.37,0,0,Thursday
325,2010,1,13,75.0,-17,-5.0,1022.0,NW,28.16,0,0,Thursday
326,2010,1,14,79.0,-16,-5.0,1022.0,NW,29.95,0,0,Thursday
327,2010,1,15,86.0,-15,-4.0,1022.0,NW,33.08,0,0,Thursday
328,2010,1,16,72.0,-16,-4.0,1023.0,cv,0.89,0,0,Thursday
329,2010,1,17,89.0,-15,-5.0,1025.0,SE,1.79,0,0,Thursday
330,2010,1,18,94.0,-14,-3.0,1026.0,NW,5.81,0,0,Thursday
331,2010,1,19,69.0,-16,-3.0,1027.0,NW,11.62,0,0,Thursday
332,2010,1,20,49.0,-15,-4.0,1029.0,NW,20.56,0,0,Thursday
333,2010,1,21,33.0,-16,-5.0,1031.0,NW,24.58,0,0,Thursday
334,2010,1,22,27.0,-17,-6.0,1032.0,NE,3.13,0,0,Thursday
335,2010,1,23,20.0,-18,-6.0,1033.0,NE,8.05,0,0,Thursday
336,2010,1,0,36.0,-19,-7.0,1034.0,NE,13.86,0,0,Friday
337,2010,1,1,37.0,-17,-8.0,1035.0,NW,5.81,0,0,Friday
338,2010,1,2,30.0,-18,-10.0,1035.0,NW,11.62,0,0,Friday
339,2010,1,3,18.0,-19,-10.0,1036.0,NW,14.75,0,0,Friday
340,2010,1,4,21.0,-19,-9.0,1036.0,NW,19.67,0,0,Friday
341,2010,1,5,13.0,-19,-9.0,1036.0,NE,7.15,0,0,Friday
342,2010,1,6,23.0,-20,-9.0,1037.0,NE,12.96,0,0,Friday
343,2010,1,7,26.0,-19,-9.0,1037.0,NE,18.77,0,0,Friday
344,2010,1,8,27.0,-19,-8.0,1038.0,NE,22.79,0,0,Friday
345,2010,1,9,30.0,-19,-8.0,1039.0,NE,28.6,0,0,Friday
346,2010,1,10,28.0,-19,-7.0,1039.0,NE,35.75,0,0,Friday
347,2010,1,11,26.0,-18,-6.0,1039.0,NE,41.56,0,0,Friday
348,2010,1,12,26.0,-18,-5.0,1039.0,NE,45.58,0,0,Friday
349,2010,1,13,31.0,-17,-4.0,1038.0,NW,1.79,0,0,Friday
350,2010,1,14,35.0,-16,-3.0,1037.0,cv,0.89,0,0,Friday
351,2010,1,15,36.0,-17,-3.0,1037.0,cv,1.78,0,0,Friday
352,2010,1,16,37.0,-17,-2.0,1037.0,cv,2.23,0,0,Friday
353,2010,1,17,64.0,-15,-5.0,1036.0,SE,0.89,0,0,Friday
